start_year,end_year,title,country_1,country_2,casualty
1900,1901,"Boxer rebels against Russia, Britain, France, Japan, USA ",China,Many,35000
1899,1902,British-Boer war ,South Africa,England,100000
1899,1902,Philippines vs USA ,Philippines , USA ,20000
1899,1903,Colombian civil war ,Colombia,Null,120000
1903,1903,Ottomans vs Macedonian rebels ,Turkey,Macedonian,20000
1904,1904,Germany vs Namibia ,Germany ,Namibia ,65000
1904,1905,Japan vs Russia ,Japan ,Russia ,150000
1886,1908,Belgium-Congo Free State ,Belgium,Congo,8000000
1911,1911,Chinese Revolution ,China,Null,2400000
1911,1912,Italian-Ottoman war ,Italia,Turkey,20000
1912,1913,Balkan wars ,Balkan,Null,150000
1916,1916,Kyrgyz revolt against Russia ,Russia,Null,120000
1914,1918,World War I ,World,Null,20000000
1917,1919,Greece vs Turkey ,Greece ,Turkey ,45000
1910,1920,Mexican revolution ,Mexican,Null,250000
1918,1920,Russian civil war ,Russian,Null,1000000
1917,1921,Soviet revolution ,Russia,Null,5000000
1919,1921,Poland vs Soviet Union ,Poland ,Russia,27000
1915,1923,Ottoman genocides ,Turkey,Null,2500000
1931,1931,Japanese Manchurian War ,Japan,Null,1100000
1932,1932,"""La Matanza"" in El Salvador ",El Salvador ,Null,30000
1932,1933,Soviet Union vs Ukraine ,Russia,Ukraine ,10000000
1934,1934,Mao's Long March ,China,Null,170000
1932,1935,"""Guerra del Chaco""  between Bolivia and Paraguay ",Bolivia,Paraguay,117500
1936,1936,Italy's invasion of Ethiopia ,Italy,Ethiopia,200000
1928,1937,Chinese civil war ,China,Null,2000000
1936,1937,Stalin's purges ,Russia,Null,13000000
1936,1939,Spanish civil war ,Spain,Null,600000
1937,1945,Japanese invasion of China ,Japan,China,500000
1939,1945,World War II ,World,Null,60000000
1941,1945,Holocaust ,Germany,Null,6000000
1947,1947,Partition of India and Pakistan , India,Pakistan ,1000000
1947,1947,Taiwan's uprising against the Kuomintang ,Taiwan,China,30000
1946,1949,Chinese civil war ,China,Null,1200000
1946,1949,Greek civil war ,Greece,Null,50000
1949,1949,Indian Muslims vs Hindus ,India,Null,20000
1949,1950,Mainland China vs Tibet ,China,Null,1200000
1950,1953,Korean war ,North Korea,South Korea,3000000
1946,1954,France-Vietnam war ,France,Vietnam,600000
1948,1958,Colombian civil war ,Colombia,Null,250000
1952,1959,Kenya's Mau Mau insurrection ,Kenya,Null,20000
1958,1961,"Mao's ""Great Leap Forward""",China,Null,38000000
1954,1962,French-Algerian war ,France,Algeria,368000
1965,1966,Indonesian civil war ,Indonesian,Null,250000
1966,1969,"Mao's ""Cultural Revolution"" ",Mao's,Null,11000000
1969,1969,Philippines vs the communist Bagong Hukbong Bayan,Philippines ,Null,40000
1967,1970,Nigeria-Biafra civil war ,Nigeria-Biafra,Null,800000
1971,1971,Pakistan-Bangladesh civil war ,Pakistan,Bangladesh,500000
1955,1972,First Sudanese Civil War,Sudane,Null,500000
1972,1972,Burundi's civil war ,Burundi,Null,300000
1948,1973,Arab-Israeli wars ,Israel,Arab,70000
1964,1973,USA-Vietnam war ,USA-Vietnam,Null,3000000
1962,1975,Mozambique Frelimo vs Portugal ,Mozambique, Portugal ,10000
1962,1975,Angolan FNLA & MPLA vs Portugal ,Angola, Portugal ,50000
1975,1978,"Ethiopia, Menghitsu",Ethiopia,Null,1500000
1969,1979,"Uganda, Idi Amin",Uganda,Null,300000
1969,1979,"Equatorial Guinea, Francisco Macias Nguema",Equatorial Guinea,Null,50000
1972,1979,Rhodesia-Zimbabwe's civil war ,Rhodesia,Zimbabwe,30000
1975,1979,"Cambodia, Khmer Rouge",Cambodia ,Null,1700000
1979,1979,Vietnam-China war ,Vietnam,China,30000
1976,1983,Argentina's military regime ,Argentina,Null,20000
1975,1987,Lebanon Civil War ,Lebanon,Null,130000
1975,1987,Laos' civil war ,Laos,Null,184000
1979,1988,Soviet Union invades Afghanistan,Russia,Afghanistan,1300000
1980,1988,Iraq-Iran war ,Iraq,Iran,1250000
1975,1989,"Vietnam, Boat people",Vietnam,Null,250000
1989,1989,Uganda vs Lord's Resistance Army ,Uganda ,Null,30000
1981,1990,Nicaragua vs Contras ,Nicaragua ,Null,60000
1982,1990,"Chad, Hissene Habre",Chad,Null,40000
1974,1991,Ethiopian civil war ,Ethiopia,Null,1000000
1991,1991,Gulf War - large coalition against Iraq to liberate Kuwait ,Iraq,Nato,85000
1977,1992,El Salvador's Civil War ,El Salvador,Null,75000
1980,1992,"Peru's Civil War, Sendero Luminoso ",Peru,Null,69000
1976,1993,Mozambique's civil war ,Mozambique,Null,900000
1991,1994,Armenia-Azerbaijan war ,Armenia,Azerbaijan,35000
1994,1994,Rwanda's civil war ,Rwanda,Null,900000
1960,1996,Guatemala's civil war ,Guatemala's,Null,200000
1992,1996,Tajikstan's civil war war ,Tajikstan,Null,50000
1992,1996,Yugoslavian wars ,Yugoslavia,Null,260000
1989,1997,First Liberian civil war ,Liberia,Null,500000
1991,1997,Congo's civil war ,Congo,Null,800000
1993,1997,Congo Brazzaville's civil war ,Congo,Null,100000
1961,1998,Indonesia vs West Papua/Irian ,Indonesia ,Null,100000
1976,1998,Indonesia-East Timor civil war ,Indonesia,Null,600000
1992,1999,Algerian civil war ,Algeria,Null,150000
1999,1999,Kosovo's liberation war - NATO vs Serbia ,Serbia,Nato,2000
1991,2000,Sierra Leone's civil war ,Sierra Leone,Null,200000
1998,2000,Ethiopia-Eritrea war ,Ethiopia,Eritrea,75000
1988,2001,Afghanistan civil war ,Afghanistan,Null,400000
2001,2001,Afghanistan's liberation war - USA & UK vs Taliban ,Afghanistan,USA,40000
2001,2001,Nigeria vs Boko Haram ,Nigeria ,Null,20000
1969,2002,Northern Ireland's civil war-IRA,Ireland,Null,3000
1975,2002,Angolan Civil War ,Angola,Null,500000
1983,2002,Second Sudanese civil war ,Sudan,Null,2000000
1961,2003,Kurds vs Iraq ,Iraq,Null,180000
1998,2003,"Congo/Zaire's war - Rwanda and Uganda vs Zimbabwe, Angola and Namibia ",Rwanda,Zimbabwe,3800000
1999,2003,Second Liberian Civil War,Liberia,Null,175000
1988,2004,Somalia's civil war ,Somalia,Null,550000
1976,2005,Indonesia-Aceh Civil War,Indonesia,Null,12000
1993,2005,Burundi's civil war ,Burundi,Null,200000
1995,2006,Maoist rebellion in Nepal ,Nepal,Null,18000
1983,2009,Sri Lanka's Civil War ,Sri Lanka,Null,70000
1991,2009,Russia-Chechnya civil war ,Russia,Null,200000
2003,2009,Sudan vs JEM/Darfur ,Sudan ,Null,300000
2003,2011,Second Iraq-USA war,Iraq,USA,160000
1972,2014,Philippines vs Muslim separatists ,Philippines ,Null,150000
2013,2015,South Sudan vs rebels ,Sudan ,Null,10000
1966,2016,Colombia's civil war ,Colombia,Null,200000
2014,2016,Ukraine's civil war ,Ukraine,Null,9500
1984,2017,Turkey vs Kurds,Turkey ,Null,50000
1986,2017,Indian Kashmir's civil war ,India,Null,60000
1987,2017,Palestin vs Israil War,Palestin,Israil,30000
1995,2017,Pakistani Sunnis vs Shiites ,Pakistan,Null,1300
2004,2017,Thailand vs Muslim separatists ,Thailand ,Null,6500
2007,2017,Pakistan vs Pakistani Taliban ,Pakistan ,Null,38000
2011,2017,Iraq's civil war after the withdrawal of the USA ,Iraq,Null,150000
2012,2017,Syria's civil war ,Syria's,Null,400000
